Effective date ,Dow Jones Commodity Index Silver
5/21/2013,434.92
5/22/2013,435.25
5/23/2013,435.95
5/24/2013,435.72
5/28/2013,429.85
5/29/2013,434.88
5/30/2013,439.47
5/31/2013,430.82
6/3/2013,440.07
6/4/2013,434.03
6/5/2013,435.25
6/6/2013,439.8
6/7/2013,421.32
6/10/2013,425.04
6/11/2013,419.83
6/12/2013,422.93
6/13/2013,418.94
6/14/2013,426.13
6/17/2013,422.33
6/18/2013,420.76
6/19/2013,419.74
6/20/2013,384.76
6/21/2013,387.39
6/24/2013,378.13
6/25/2013,378.69
6/26/2013,360.51
6/27/2013,359.35
6/28/2013,377.11
7/1/2013,379.2
7/2/2013,373.99
7/3/2013,381.56
7/5/2013,362.89
7/8/2013,368.74
7/9/2013,370.68
7/10/2013,371.2
7/11/2013,386.52
7/12/2013,383.34
7/15/2013,384.25
7/16/2013,386.11
7/17/2013,376.14
7/18/2013,375.54
7/19/2013,376.91
7/22/2013,397.23
7/23/2013,392.29
7/24/2013,387.76
7/25/2013,390.35
7/26/2013,382.94
7/29/2013,384.74
7/30/2013,381.17
7/31/2013,380.17
8/1/2013,380.09
8/2/2013,385.67
8/5/2013,381.95
8/6/2013,378.13
8/7/2013,378.03
8/8/2013,391.5
8/9/2013,395.86
8/12/2013,414.16
8/13/2013,414.43
8/14/2013,422.95
8/15/2013,445.19
8/16/2013,452.68
8/19/2013,449.64
8/20/2013,447.76
8/21/2013,445.65
8/22/2013,447.03
8/23/2013,460.6
8/26/2013,465.91
8/27/2013,478.4
8/28/2013,473.35
8/29/2013,467.56
8/30/2013,455.41
9/3/2013,473.16
9/4/2013,453.52
9/5/2013,450.42
9/6/2013,462.73
9/9/2013,459.36
9/10/2013,445.79
9/11/2013,448.81
9/12/2013,428.99
9/13/2013,420.69
9/16/2013,426.28
9/17/2013,421.93
9/18/2013,417.66
9/19/2013,451.13
9/20/2013,424.69
9/23/2013,423.34
9/24/2013,418.09
9/25/2013,423.9
9/26/2013,421.58
9/27/2013,422.84
9/30/2013,420.45
10/1/2013,410.13
10/2/2013,424.11
10/3/2013,421.96
10/4/2013,421.31
10/7/2013,433.59
10/8/2013,434.69
10/9/2013,424
10/10/2013,424.09
10/11/2013,411.76
10/14/2013,413.6
10/15/2013,410.44
10/16/2013,413.81
10/17/2013,425.08
10/18/2013,424.42
10/21/2013,431.49
10/22/2013,441.41
10/23/2013,438.06
10/24/2013,442.03
10/25/2013,438.49
10/28/2013,436.53
10/29/2013,435.64
10/30/2013,445.15
10/31/2013,423.53
11/1/2013,422.95
11/4/2013,420.3
11/5/2013,419.06
11/6/2013,421.62
11/7/2013,419.68
11/8/2013,413.33
11/11/2013,412.9
11/12/2013,403.35
11/13/2013,397
11/14/2013,402.36
11/15/2013,402.42
11/18/2013,395.16
11/19/2013,394.67
11/20/2013,389.37
11/21/2013,386.91
11/22/2013,385.45
11/25/2013,385.94
11/26/2013,385.3
11/27/2013,381.21
11/29/2013,388.01
12/2/2013,373.6
12/3/2013,369.26
12/4/2013,384.08
12/5/2013,379.04
12/6/2013,378.13
12/9/2013,381.58
12/10/2013,393.47
12/11/2013,394.27
12/12/2013,376.78
12/13/2013,379.7
12/16/2013,389.33
12/17/2013,384.27
12/18/2013,388.51
12/19/2013,371.61
12/20/2013,376.78
12/23/2013,376
12/24/2013,377.38
12/26/2013,385.74
12/27/2013,388.32
12/30/2013,379.91
12/31/2013,375.17
1/2/2014,389.85
1/3/2014,391.46
1/6/2014,389.37
1/7/2014,383.25
1/8/2014,378.44
1/9/2014,381.23
1/10/2014,391.69
1/13/2014,394.83
1/14/2014,392.83
1/15/2014,389.97
1/16/2014,388.42
1/17/2014,393.26
1/21/2014,384.85
1/22/2014,384.25
1/23/2014,387.57
1/24/2014,382.82
1/27/2014,383.36
1/28/2014,377.75
1/29/2014,378.69
1/30/2014,370.44
1/31/2014,370.33
2/3/2014,375.92
2/4/2014,376.18
2/5/2014,383.59
2/6/2014,385.98
2/7/2014,386.28
2/10/2014,389.85
2/11/2014,390.79
2/12/2014,394.5
2/13/2014,395.68
2/14/2014,415.57
2/18/2014,424.81
2/19/2014,423.84
2/20/2014,420.63
2/21/2014,422.53
2/24/2014,427.83
2/25/2014,426.13
2/26/2014,412.34
2/27/2014,413.56
2/28/2014,411.41
3/3/2014,416.13
3/4/2014,411.04
3/5/2014,411.99
3/6/2014,417.86
3/7/2014,405.35
3/10/2014,405
3/11/2014,403.16
3/12/2014,413.67
3/13/2014,410.58
3/14/2014,414.74
3/17/2014,412.07
3/18/2014,404.07
3/19/2014,403.37
3/20/2014,395.7
3/21/2014,393.38
3/24/2014,388.67
3/25/2014,386.96
3/26/2014,383.11
3/27/2014,381.72
3/28/2014,383.3
3/31/2014,382.57
4/1/2014,381.33
4/2/2014,388.34
4/3/2014,383.59
4/4/2014,386.33
4/7/2014,385.72
4/8/2014,388.74
4/9/2014,383.3
4/10/2014,389.66
4/11/2014,386.96
4/14/2014,388.2
4/15/2014,378.07
4/16/2014,380.88
4/17/2014,380.19
4/21/2014,375.38
4/22/2014,375.52
4/23/2014,377.05
4/24/2014,381.83
4/25/2014,381.91
4/28/2014,379.99
4/29/2014,378.42
4/30/2014,371.37
5/1/2014,368.84
5/2/2014,378.58
5/5/2014,379.06
5/6/2014,380.5
5/7/2014,374.63
5/8/2014,370.68
5/9/2014,370.35
5/12/2014,378.52
5/13/2014,378.6
5/14/2014,383.01
5/15/2014,377.38
5/16/2014,374.38
5/19/2014,374.84
5/20/2014,375.73
5/21/2014,374.55
5/22/2014,378.07
5/23/2014,376.1
5/27/2014,369.3
5/28/2014,369.15
5/29/2014,368.27
5/30/2014,361.84
6/2/2014,362.95
6/3/2014,363.41
6/4/2014,363.97
6/5/2014,369.61
6/6/2014,367.98
6/9/2014,369.61
6/10/2014,371.75
6/11/2014,371.97
6/12/2014,379.1
6/13/2014,381.54
6/16/2014,382.7
6/17/2014,383.03
6/18/2014,383.9
6/19/2014,400.77
6/20/2014,406.62
6/23/2014,406.04
6/24/2014,408.62
6/25/2014,410.05
6/26/2014,409.88
6/27/2014,409.34
6/30/2014,407.82
7/1/2014,409.01
7/2/2014,412.59
7/3/2014,409.39
7/7/2014,407.01
7/8/2014,406.99
7/9/2014,408.06
7/10/2014,416.58
7/11/2014,415.67
7/14/2014,405.07
7/15/2014,404.59
7/16/2014,402.38
7/17/2014,409.34
7/18/2014,404.53
7/21/2014,406.97
7/22/2014,406.9
7/23/2014,406.64
7/24/2014,395.41
7/25/2014,399.69
7/28/2014,398.35
7/29/2014,398.66
7/30/2014,398.93
7/31/2014,395.35
8/1/2014,394.56
8/4/2014,391.88
8/5/2014,384.14
8/6/2014,387.84
8/7/2014,387.45
8/8/2014,386.74
8/11/2014,389.98
8/12/2014,386.54
8/13/2014,385.61
8/14/2014,386.81
8/15/2014,379.43
8/18/2014,381.56
8/19/2014,377.22
8/20/2014,378.99
8/21/2014,377.44
8/22/2014,376.89
8/25/2014,376.35
8/26/2014,376.89
8/27/2014,377.2
8/28/2014,379.8
8/29/2014,377.53
9/2/2014,370.95
9/3/2014,371.66
9/4/2014,370.68
9/5/2014,371.02
9/8/2014,367.25
9/9/2014,366.45
9/10/2014,366.57
9/11/2014,360.24
9/12/2014,360.37
9/15/2014,360.64
9/16/2014,362.6
9/17/2014,362.85
9/18/2014,358.65
9/19/2014,345.61
9/22/2014,344.26
9/23/2014,344.35
9/24/2014,342.86
9/25/2014,337.75
9/26/2014,339.67
9/29/2014,340.25
9/30/2014,330.37
10/1/2014,334.28
10/2/2014,330.18
10/3/2014,325.9
10/6/2014,333.62
10/7/2014,333.91
10/8/2014,330.51
10/9/2014,337.36
10/10/2014,335.13
10/13/2014,335.95
10/14/2014,337.07
10/15/2014,338.25
10/16/2014,337.73
10/17/2014,335.68
10/20/2014,336.12
10/21/2014,339.9
10/22/2014,333.74
10/23/2014,332.33
10/24/2014,332.79
10/27/2014,332.38
10/28/2014,333.64
10/29/2014,334.38
10/30/2014,318.03
10/31/2014,311.95
11/3/2014,313.79
11/4/2014,308.99
11/5/2014,299.03
11/6/2014,298.53
11/7/2014,304.56
11/10/2014,303.94
11/11/2014,304.28
11/12/2014,303.34
11/13/2014,303.53
11/14/2014,316.95
11/17/2014,311.99
11/18/2014,314.26
11/19/2014,316.68
11/20/2014,313.64
11/21/2014,318.79
11/24/2014,318.32
11/25/2014,321.73
11/26/2014,321.63
11/28/2014,301.3
12/1/2014,323.3
12/2/2014,318.73
12/3/2014,317.88
12/4/2014,321.03
12/5/2014,314.89
12/8/2014,315.24
12/9/2014,331.86
12/10/2014,332.89
12/11/2014,331.44
12/12/2014,330.37
12/15/2014,320.8
12/16/2014,305.09
12/17/2014,308.5
12/18/2014,308.62
12/19/2014,310.48
12/22/2014,303.85
12/23/2014,305.38
12/24/2014,304.28
12/26/2014,312.74
12/29/2014,305.62
12/30/2014,315.24
12/31/2014,302.13
1/2/2015,305.4
1/5/2015,314.02
1/6/2015,322.24
1/7/2015,320.43
1/8/2015,317.35
1/9/2015,318.01
1/12/2015,320.82
1/13/2015,332.29
1/14/2015,329.03
1/15/2015,331.24
1/16/2015,343.79
1/20/2015,347.78
1/21/2015,352.37
1/22/2015,355.61
1/23/2015,354.45
1/26/2015,348.31
1/27/2015,350.26
1/28/2015,350.34
1/29/2015,324.87
1/30/2015,333.29
2/2/2015,334.13
2/3/2015,335.48
2/4/2015,336.92
2/5/2015,333.06
2/6/2015,323.51
2/9/2015,330.97
2/10/2015,327.33
2/11/2015,325.3
2/12/2015,326.09
2/13/2015,335.79
2/17/2015,318.03
2/18/2015,315.9
2/19/2015,318.19
2/20/2015,316.1
2/23/2015,315.69
2/24/2015,314.41
2/25/2015,319.08
2/26/2015,321.98
2/27/2015,320.71
3/2/2015,318.63
3/3/2015,315.63
3/4/2015,312.96
3/5/2015,312.96
3/6/2015,306.16
3/9/2015,305.56
3/10/2015,302.79
3/11/2015,297.6
3/12/2015,300.52
3/13/2015,300.1
3/16/2015,302.48
3/17/2015,301.72
3/18/2015,301.01
3/19/2015,312.11
3/20/2015,327
3/23/2015,327.15
3/24/2015,328.94
3/25/2015,329.27
3/26/2015,331.98
3/27/2015,330.6
3/30/2015,322.95
3/31/2015,321.48
4/1/2015,330.41
4/2/2015,323.47
4/6/2015,331.4
4/7/2015,326.17
4/8/2015,318.86
4/9/2015,313.65
4/10/2015,317.81
4/13/2015,316.22
4/14/2015,313.85
4/15/2015,316.15
4/16/2015,316.27
4/17/2015,315.18
4/20/2015,308.52
4/21/2015,310.83
4/22/2015,306.72
4/23/2015,307.4
4/24/2015,303.7
4/27/2015,318.4
4/28/2015,322.1
4/29/2015,323.49
4/30/2015,312.86
5/1/2015,312.51
5/4/2015,318.44
5/5/2015,321.11
5/6/2015,319.7
5/7/2015,315.65
5/8/2015,318.9
5/11/2015,315.98
5/12/2015,320.09
5/13/2015,333.55
5/14/2015,338.27
5/15/2015,340.17
5/18/2015,343.44
5/19/2015,330.64
5/20/2015,331.45
5/21/2015,331.82
5/22/2015,330.25
5/26/2015,324.35
5/27/2015,322.43
5/28/2015,322.85
5/29/2015,323.47
6/1/2015,323.07
6/2/2015,325.37
6/3/2015,319.19
6/4/2015,311.89
6/5/2015,309.75
6/8/2015,309.44
6/9/2015,309.56
6/10/2015,309.79
6/11/2015,309.96
6/12/2015,307.38
6/15/2015,312.34
6/16/2015,309.97
6/17/2015,309.61
6/18/2015,313.62
6/19/2015,312.73
6/22/2015,313.33
6/23/2015,305.48
6/24/2015,307.77
6/25/2015,306.82
6/26/2015,305.4
6/29/2015,303.99
6/30/2015,301.78
7/1/2015,301.7
7/2/2015,301.41
7/6/2015,305.11
7/7/2015,289.93
7/8/2015,293.69
7/9/2015,297.52
7/10/2015,299.85
7/13/2015,299.38
7/14/2015,296.63
7/15/2015,291.46
7/16/2015,290.22
7/17/2015,287.31
7/20/2015,285.84
7/21/2015,286.36
7/22/2015,285.3
7/23/2015,284.74
7/24/2015,280.61
7/27/2015,282.88
7/28/2015,283.59
7/29/2015,285.55
7/30/2015,284.64
7/31/2015,285.59
8/3/2015,281.13
8/4/2015,281.95
8/5/2015,281.87
8/6/2015,284.27
8/7/2015,287.26
8/10/2015,296.58
8/11/2015,296.62
8/12/2015,300.55
8/13/2015,299.23
8/14/2015,295.62
8/17/2015,297.27
8/18/2015,287.31
8/19/2015,294.83
8/20/2015,301.41
8/21/2015,297.27
8/24/2015,286.62
8/25/2015,283.77
8/26/2015,272.67
8/27/2015,279.62
8/28/2015,281.79
8/31/2015,282.51
9/1/2015,283.17
9/2/2015,284.08
9/3/2015,284.85
9/4/2015,281.79
9/8/2015,285.78
9/9/2015,282.32
9/10/2015,283.65
9/11/2015,280.94
9/14/2015,278.19
9/15/2015,277.47
9/16/2015,288.3
9/17/2015,290.22
9/18/2015,293.69
9/21/2015,294.81
9/22/2015,285.8
9/23/2015,286.44
9/24/2015,293.05
9/25/2015,292.68
9/28/2015,281.58
9/29/2015,282.26
9/30/2015,281.19
10/1/2015,281.06
10/2/2015,295.62
10/5/2015,304.24
10/6/2015,309.59
10/7/2015,311.72
10/8/2015,305.37
10/9/2015,306.37
10/12/2015,307.26
10/13/2015,308.1
10/14/2015,312.16
10/15/2015,313.07
10/16/2015,312.11
10/19/2015,306.82
10/20/2015,308.29
10/21/2015,304.28
10/22/2015,306.74
10/23/2015,306.55
10/26/2015,308.06
10/27/2015,307.24
10/28/2015,315.57
10/29/2015,301.18
10/30/2015,301.51
11/2/2015,298.43
11/3/2015,295.16
11/4/2015,291.65
11/5/2015,290.2
11/6/2015,284.73
11/9/2015,279.54
11/10/2015,278.59
11/11/2015,276.87
11/12/2015,276.2
11/13/2015,275.61
11/16/2015,276.04
11/17/2015,275.05
11/18/2015,273.39
11/19/2015,276.06
11/20/2015,273.6
11/23/2015,272.34
11/24/2015,274.8
11/25/2015,274.55
11/27/2015,272.09
11/30/2015,272.83
12/1/2015,272.77
12/2/2015,271.33
12/3/2015,272.65
12/4/2015,281.39
12/7/2015,277.59
12/8/2015,273.41
12/9/2015,274.82
12/10/2015,273.29
12/11/2015,268.91
12/14/2015,265.25
12/15/2015,266.71
12/16/2015,275.96
12/17/2015,265.41
12/18/2015,273.02
12/21/2015,277.26
12/22/2015,277.24
12/23/2015,276.72
12/24/2015,278.5
12/28/2015,268.91
12/29/2015,269.77
12/30/2015,268.1
12/31/2015,267.34
1/4/2016,268.08
1/5/2016,270.6
1/6/2016,270.7
1/7/2016,277.82
1/8/2016,269.57
1/11/2016,268.56
1/12/2016,266.34
1/13/2016,274.18
1/14/2016,266.28
1/15/2016,269.15
1/19/2016,273.5
1/20/2016,274.26
1/21/2016,272.98
1/22/2016,272.26
1/25/2016,276.08
1/26/2016,282.08
1/27/2016,280.05
1/28/2016,275.65
1/29/2016,275.87
2/1/2016,277.8
2/2/2016,276.76
2/3/2016,285.38
2/4/2016,287.62
2/5/2016,286.33
2/8/2016,298.97
2/9/2016,299.5
2/10/2016,296.3
2/11/2016,306.28
2/12/2016,306.26
2/16/2016,297.46
2/17/2016,298.31
2/18/2016,299.46
2/19/2016,298.35
2/22/2016,294.81
2/23/2016,295.95
2/24/2016,296.96
2/25/2016,294.38
2/26/2016,284.99
2/29/2016,288.94
3/1/2016,285.8
3/2/2016,290.95
3/3/2016,293.36
3/4/2016,303.97
3/7/2016,302.79
3/8/2016,298.08
3/9/2016,297.62
3/10/2016,301.16
3/11/2016,302.25
3/14/2016,300.62
3/15/2016,295.58
3/16/2016,294.77
3/17/2016,310.54
3/18/2016,306.24
3/21/2016,306.93
3/22/2016,307.67
3/23/2016,295.8
3/24/2016,294.38
3/28/2016,294.21
3/29/2016,295.04
3/30/2016,294.62
3/31/2016,299.52
4/1/2016,291.42
4/4/2016,289.44
4/5/2016,292.78
4/6/2016,291.57
4/7/2016,293.74
4/8/2016,298.26
4/11/2016,309.87
4/12/2016,314.79
4/13/2016,316.95
4/14/2016,313.98
4/15/2016,316.72
4/18/2016,315.57
4/19/2016,329.54
4/20/2016,332.81
4/21/2016,332
4/22/2016,328.3
4/25/2016,330.41
4/26/2016,332.35
4/27/2016,335.75
4/28/2016,340.65
4/29/2016,345.13
5/2/2016,342.48
5/3/2016,338.93
5/4/2016,335.1
5/5/2016,335.6
5/6/2016,339.47
5/9/2016,330.99
5/10/2016,331.05
5/11/2016,335.44
5/12/2016,331.26
5/13/2016,331.82
5/16/2016,332.25
5/17/2016,334.11
5/18/2016,331.82
5/19/2016,319.45
5/20/2016,320.2
5/23/2016,318.09
5/24/2016,314.82
5/25/2016,314.95
5/26/2016,316.54
5/27/2016,315.11
5/31/2016,309.78
6/1/2016,308.48
6/2/2016,310.38
6/3/2016,316.97
6/6/2016,318.56
6/7/2016,317.72
6/8/2016,329.37
6/9/2016,335.06
6/10/2016,336.46
6/13/2016,338.85
6/14/2016,338.47
6/15/2016,339.98
6/16/2016,342.01
6/17/2016,338.19
6/20/2016,340.25
6/21/2016,336.51
6/22/2016,336.37
6/23/2016,337.21
6/24/2016,345.52
6/27/2016,344.49
6/28/2016,346.48
6/29/2016,356.52
6/30/2016,360.7
7/1/2016,379.39
7/5/2016,385.57
7/6/2016,391.3
7/7/2016,384.23
7/8/2016,389.29
7/11/2016,393.26
7/12/2016,390.68
7/13/2016,395.37
7/14/2016,393.61
7/15/2016,390.57
7/18/2016,388.82
7/19/2016,387.51
7/20/2016,379.88
7/21/2016,383.79
7/22/2016,381.35
7/25/2016,380.53
7/26/2016,381.23
7/27/2016,387.27
7/28/2016,391.09
7/29/2016,394.09
8/1/2016,397.06
8/2/2016,400.95
8/3/2016,396.49
8/4/2016,395.95
8/5/2016,384.26
8/8/2016,384.49
8/9/2016,385.85
8/10/2016,392.54
8/11/2016,390.12
8/12/2016,383.96
8/15/2016,386.69
8/16/2016,387.22
8/17/2016,382.84
8/18/2016,384.82
8/19/2016,376.7
8/22/2016,367.96
8/23/2016,369.26
8/24/2016,361.96
8/25/2016,360.55
8/26/2016,363.06
8/29/2016,365.27
8/30/2016,361.67
8/31/2016,362.33
9/1/2016,366.9
9/2/2016,375.09
9/6/2016,390.04
9/7/2016,384.43
9/8/2016,381.13
9/9/2016,375.13
9/12/2016,368
9/13/2016,367.52
9/14/2016,369.28
9/15/2016,368.8
9/16/2016,365.33
9/19/2016,373.62
9/20/2016,373.37
9/21/2016,382.88
9/22/2016,389.29
9/23/2016,383.69
9/26/2016,379.55
9/27/2016,371.2
9/28/2016,370.35
9/29/2016,371.64
9/30/2016,372.15
10/3/2016,365.45
10/4/2016,344.28
10/5/2016,342.73
10/6/2016,335.95
10/7/2016,336.63
10/10/2016,342.03
10/11/2016,339.12
10/12/2016,339.05
10/13/2016,338.14
10/14/2016,337.81
10/17/2016,338.45
10/18/2016,341.62
10/19/2016,342.11
10/20/2016,339.9
10/21/2016,338.81
10/24/2016,340.96
10/25/2016,344.37
10/26/2016,341.39
10/27/2016,341.64
10/28/2016,344.68
10/31/2016,344.68
11/1/2016,356.73
11/2/2016,362.06
11/3/2016,356.69
11/4/2016,355.82
11/7/2016,352.05
11/8/2016,356.5
11/9/2016,357.36
11/10/2016,364.68
11/11/2016,338.52
11/14/2016,329.07
11/15/2016,332.04
11/16/2016,329.85
11/17/2016,326.84
11/18/2016,323.86
11/21/2016,321.93
11/22/2016,324.13
11/23/2016,319.29
11/25/2016,320.63
11/28/2016,322.97
11/29/2016,324.23
11/30/2016,319.23
12/1/2016,319.7
12/2/2016,326.01
12/5/2016,327.31
12/6/2016,325.59
12/7/2016,334.59
12/8/2016,331.13
12/9/2016,328.63
12/12/2016,332.89
12/13/2016,328.82
12/14/2016,333.55
12/15/2016,309.08
12/16/2016,314.06
12/19/2016,311.62
12/20/2016,312.16
12/21/2016,309.49
12/22/2016,307.4
12/23/2016,305.23
12/27/2016,309.68
12/28/2016,310.63
12/29/2016,314.12
12/30/2016,309.68
1/3/2017,317.82
1/4/2017,320.59
1/5/2017,322.24
1/6/2017,319.95
1/9/2017,323.13
1/10/2017,326.32
1/11/2017,325.93
1/12/2017,325.88
1/13/2017,324.71
1/17/2017,332.13
1/18/2017,334.57
1/19/2017,329.3
1/20/2017,329.89
1/23/2017,332.87
1/24/2017,332.85
1/25/2017,328.88
1/26/2017,326.36
1/27/2017,331.9
1/30/2017,332.21
1/31/2017,339.78
2/1/2017,337.98
2/2/2017,337.58
2/3/2017,338.54
2/6/2017,342.69
2/7/2017,344.18
2/8/2017,343.46
2/9/2017,344.4
2/10/2017,348.36
2/13/2017,346.47
2/14/2017,347.82
2/15/2017,349.27
2/16/2017,351.46
2/17/2017,350.63
2/21/2017,350.07
2/22/2017,349.06
2/23/2017,352.22
2/24/2017,356.5
2/27/2017,356.71
2/28/2017,357.72
3/1/2017,358.11
3/2/2017,343.75
3/3/2017,343.6
3/6/2017,344.24
3/7/2017,339.65
3/8/2017,335.04
3/9/2017,329.96
3/10/2017,327.77
3/13/2017,328.72
3/14/2017,327.77
3/15/2017,327.77
3/16/2017,335.66
3/17/2017,337.27
3/20/2017,337.75
3/21/2017,340.56
3/22/2017,340.46
3/23/2017,340.75
3/24/2017,343.75
3/27/2017,350.73
3/28/2017,353.52
3/29/2017,353.52
3/30/2017,352.62
3/31/2017,353.59
4/3/2017,352.74
4/4/2017,354.89
4/5/2017,352.26
4/6/2017,353.4
4/7/2017,351.85
4/10/2017,347.57
4/11/2017,354.43
4/12/2017,355.61
4/13/2017,359.97
4/17/2017,360.06
4/18/2017,355.41
4/19/2017,353.28
4/20/2017,350.53
4/21/2017,347.41
4/24/2017,347.32
4/25/2017,342.03
4/26/2017,337.61
4/27/2017,335.74
4/28/2017,334.34
5/1/2017,326.21
5/2/2017,325.99
5/3/2017,320.47
5/4/2017,315.77
5/5/2017,315.2
5/8/2017,314.89
5/9/2017,311.2
5/10/2017,313.91
5/11/2017,315.03
5/12/2017,317.68
5/15/2017,321.58
5/16/2017,324.37
5/17/2017,327.45
5/18/2017,322.87
5/19/2017,325.31
5/22/2017,332.97
5/23/2017,331.96
5/24/2017,331.53
5/25/2017,333
5/26/2017,335.52
5/30/2017,337.54
5/31/2017,337.13
6/1/2017,334.71
6/2/2017,339.43
6/5/2017,340.52
6/6/2017,343.02
6/7/2017,341.57
6/8/2017,337.87
6/9/2017,334.47
6/12/2017,329.31
6/13/2017,326.15
6/14/2017,333.29
6/15/2017,325.04
6/16/2017,323.86
6/19/2017,320.84
6/20/2017,319.12
6/21/2017,318.3
6/22/2017,321
6/23/2017,323.59
6/26/2017,322.12
6/27/2017,322.51
6/28/2017,325.22
6/29/2017,322.56
6/30/2017,322.04
7/3/2017,311.68
7/5/2017,307.88
7/6/2017,309.57
7/7/2017,298.76
7/10/2017,302.71
7/11/2017,304.96
7/12/2017,307.71
7/13/2017,303.91
7/14/2017,308.6
7/17/2017,311.81
7/18/2017,315.09
7/19/2017,315.65
7/20/2017,316.58
7/21/2017,318.75
7/24/2017,318.48
7/25/2017,320.4
7/26/2017,318.79
7/27/2017,321
7/28/2017,323.36
7/31/2017,325.12
8/1/2017,324.69
8/2/2017,324.09
8/3/2017,322.1
8/4/2017,314.78
8/7/2017,315.1
8/8/2017,318.1
8/9/2017,327.6
8/10/2017,331.87
8/11/2017,332.29
8/14/2017,333.29
8/15/2017,325.41
8/16/2017,329.77
8/17/2017,331.98
8/18/2017,330.95
8/21/2017,331.13
8/22/2017,330.43
8/23/2017,331.71
8/24/2017,330.16
8/25/2017,331.82
8/28/2017,339.51
8/29/2017,339.26
8/30/2017,339.01
8/31/2017,340.4
9/1/2017,345.07
9/5/2017,347.49
9/6/2017,346.89
9/7/2017,350.88
9/8/2017,351.02
9/11/2017,346.74
9/12/2017,346.5
9/13/2017,346.06
9/14/2017,344.55
9/15/2017,342.84
9/18/2017,332.29
9/19/2017,334.67
9/20/2017,335.74
9/21/2017,329.61
9/22/2017,328.96
9/25/2017,332.11
9/26/2017,327
9/27/2017,325.92
9/28/2017,326.3
9/29/2017,322.99
10/2/2017,322.56
10/3/2017,322.49
10/4/2017,321.98
10/5/2017,322.25
10/6/2017,325.2
10/9/2017,328.7
10/10/2017,333.28
10/11/2017,331.84
10/12/2017,334.42
10/13/2017,337.23
10/16/2017,336.41
10/17/2017,330.06
10/18/2017,329.21
10/19/2017,334.2
10/20/2017,330.78
10/23/2017,330.72
10/24/2017,328.61
10/25/2017,327.81
10/26/2017,325.61
10/27/2017,324.46
10/30/2017,326.3
10/31/2017,323.32
11/1/2017,332.67
11/2/2017,331.92
11/3/2017,326.05
11/6/2017,333.82
11/7/2017,328.48
11/8/2017,332.69
11/9/2017,329.9
11/10/2017,328.22
11/13/2017,332
11/14/2017,332.5
11/15/2017,330.54
11/16/2017,332.52
11/17/2017,338.39
11/20/2017,328.12
11/21/2017,330.47
11/22/2017,333.45
11/24/2017,331.07
11/27/2017,331.57
11/28/2017,327.68
11/29/2017,320.76
11/30/2017,319.08
12/1/2017,317.41
12/4/2017,317.12
12/5/2017,311.21
12/6/2017,309.03
12/7/2017,306.06
12/8/2017,306.47
12/11/2017,305.73
12/12/2017,303.47
12/13/2017,307.36
12/14/2017,308.62
12/15/2017,311.12
